,@type,address,pub_key,account_number,sequence
2549,/cosmos.auth.v1beta1.BaseAccount,terra1ll7lyax74g7x50ek3mxjz8w4ms3rms8wt5fn3y,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A23k73G9nQUSu1VkcCTPmXbFyQXwDq5GsDk1i/19Rpaj'}",3408507,1
2550,/cosmos.auth.v1beta1.BaseAccount,terra1ll7ltsyut6vwm48rndp6hstmat7cpfvekum2p5,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AiiI76R8Bw6Fh0OPXYTSUHpRDJ88sAKadNrEvik0gCeQ'}",1563458,12
2551,/cosmos.auth.v1beta1.BaseAccount,terra1ll7lc3m0yt2eg0z7ntn5w9rdskxrrgd82ac75u,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AogO3zC6RXPutxCXlAcffe4K0CYBYLwmQpKmqAZ/awv4'}",780701,4
2552,/cosmos.auth.v1beta1.BaseAccount,terra1lllqps66a4x68eun8zj6gfgf0wjq0chq7tryjq,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ajy21yKfOYQQfRaorDK+sdRIEZTJSxs7kuJsSJUtVyco'}",3311648,5
2553,/cosmos.auth.v1beta1.BaseAccount,terra1lllq5es7gw20adut3ywc39mt27wsaxw2h925y7,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AjfKpKgzk/mU5Gwdz/xg+AEa8nS0CnVqMq6ZOcDn0a+j'}",2018215,3
2554,/cosmos.auth.v1beta1.BaseAccount,terra1lllqm0ynjc4syf0qelelhedyly09vynkqnlr88,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AloPMfcwrsPgVaQ3Z9tqy4noYPcIisZtTPe1qTWB0l3c'}",2335034,1
2555,/cosmos.auth.v1beta1.BaseAccount,terra1lllp98d64fw4p65r94nrc3wus67lvdand6w8r6,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A0jfGmyY9nD4RsiJuyZxl7JYQn2M3lnhrKIpJhCH8pmm'}",2828822,3
2556,/cosmos.auth.v1beta1.BaseAccount,terra1lllp44wdkf4gjv80jhqs0ks8hdn20wvxuuu3j8,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ao4iiNFyu8Iw9mSSTvdFJPLj1xBAbwxjekEFKg6HZ7OO'}",1858366,5
2557,/cosmos.auth.v1beta1.BaseAccount,terra1lllz3a6sw4p33rkcxc7z5hhd4uwk53sp5naw4d,,1701616,0
2558,/cosmos.auth.v1beta1.BaseAccount,terra1lllzl3cytmk77ldztspddtwz64cjc6lckny25x,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AnKb+FmyaBPiPjRxP6105iEtRtXo7TmwKl7vY+RAu1gc'}",1182465,26
